,'_techniques_T1012','_techniques_T1037_001','_techniques_T1041','_techniques_T1053_005','_techniques_T1057','_techniques_T1059_001','_techniques_T1059_003','_techniques_T1059_005','_techniques_T1059_007','_techniques_T1083','_techniques_T1112','_techniques_T1119','_techniques_T1123','_techniques_T1195_002','_techniques_T1204_001','_techniques_T1204_002','_techniques_T1218_005','_techniques_T1218_010','_techniques_T1218_011','_techniques_T1497_001','_techniques_T1518_001','_techniques_T1547_001','_techniques_T1547_002','_techniques_T1559_001','_techniques_T1560_001','_techniques_T1566_001','_techniques_T1566_002','_techniques_T1566_003'
'_techniques_T1547_001'-31,2.558152692,0.457512228,1.209998044,0.576911497,0.629725202,0.000803219,0.073471662,0.559362407,0,2.186925539,5.418402978,1.654827041,1.28086292,0,0.216993394,1.740679403,0.028059001,0.214434549,0.670505431,1.023313492,0.58786109,2.476442047,0,0,1.777151901,1.742453219,0.135496033,0
'_techniques_T1547_001'-32,1.026733522,0.457512228,1.183071987,0.559736453,0.582660093,0.000756096,0.068778917,0.559046693,0,2.006940626,5.318380259,1.607873424,1.259105797,0,0.20838287,1.725029301,0.028522021,0.131773052,0.601465207,0.957191473,0.518561945,1.407864277,0,0,1.769014193,1.695946777,0.134138926,0
'_techniques_T1547_001'-33,2.121321159,2.739823993,0.626818499,1.669937259,1.859132938,2.125676359,1.906561387,1.500772991,1.693185523,0.16836274,4.20263183,0.195636315,0.633062112,1.748271363,0.132718826,0.105286037,1.662837477,2.057104173,1.817431385,1.174601028,1.339327061,1.244156899,0,1.682759423,0.032159719,0.029386926,0.050426769,0
'_techniques_T1547_001'-34,1.330834763,1.47534445,1.747697405,1.988772044,1.74227353,1.460939119,1.554501626,1.828018722,1.666019467,2.252240116,0.344566372,1.863780188,1.887276277,1.698323821,0.305204024,2.328557806,1.668639066,1.479020196,1.591730737,1.633083612,1.540600157,1.970351819,0,1.682759423,2.203051525,1.818423944,0.306712994,0
'_techniques_T1547_001'-35,0.652932171,1.063087808,0.069132224,0.021799727,0.096953776,1.33286E-05,0.006625451,0.016986377,0,0.020288789,3.658854195,0,0,0,0,0.024331397,0,0.021205588,0.178566381,0.356223082,0.358587974,0.168354215,0,0,0,0.019672159,0,0
'_techniques_T1547_001'-36,2.553539728,0.457512228,0.069132224,0.021799727,0.096492641,0,0.008894624,0.016786502,0,0.021101332,3.662032773,0,0,0,0,0.024373112,0,0.144875228,0.273813691,0.345590186,0.357400169,1.413969645,0,0,0,0.019705886,0,0
'_techniques_T1547_001'-37,2.77676823,1.816942885,0.60221469,1.68784368,1.915141314,2.133510407,2.131407415,1.543965794,1.73158583,0.169318117,4.58284156,0.177452795,0.630566671,1.696548777,0.132336026,0.107156957,1.860929513,2.134057678,1.774017405,1.182990109,1.443504009,1.397528436,0,1.750685085,0.032769483,0.02988383,0.051098402,0
'_techniques_T1547_001'-38,2.933525499,1.891781778,1.555802699,2.211353288,2.171320993,2.20024101,2.20526721,2.068063803,1.640146036,2.053958713,6.068419102,2.066719073,1.897901917,1.753206956,0.307109445,2.159219003,1.836588289,2.158099229,2.049185947,1.835591487,1.701769515,2.611075061,0,1.703924908,2.03415738,1.788730954,0.203590215,0
'_techniques_T1547_001'-39,2.583280486,1.074550382,0.068485811,0.021595891,0.097342953,1.33286E-05,0.007761257,0.016563057,0,0.021789818,3.662032773,0,0,0,0,0.024145214,0,0.08287897,0.223314122,0.350014617,0.354524784,1.470080335,0,0,0,0.019197462,0,0
'_techniques_T1547_001'-4,1.55334043,3.156403573,0.068790683,0.021133023,0.097776286,1.33286E-05,0.00751188,0.01670357,0,0.019799752,3.658854195,0,0,0,0,0.024048681,0,0.063125994,0.236740228,0.347597798,0.353378313,1.215803672,0,0,0,0.019443581,0,0
