,T1001,T1003,T1005,T1007,T1008,T1010,T1012,T1014,T1016,T1018,T1021,T1025,T1027,T1029,T1030,T1033,T1036,T1037,T1039,T1040,T1041,T1046,T1047,T1048,T1049,T1052,T1053,T1055,T1056,T1057,T1059,T1068,T1069,T1070,T1071,T1074,T1078,T1080,T1082,T1083,T1087,T1090,T1091,T1092,T1095,T1102,T1104,T1105,T1106,T1110,T1112,T1113,T1114,T1115,T1119,T1120,T1123,T1124,T1125,T1129,T1132,T1133,T1134,T1135,T1136,T1137,T1140,T1176,T1185,T1189,T1190,T1195,T1197,T1201,T1203,T1204,T1210,T1217,T1218,T1219,T1221,T1222,T1480,T1482,T1484,T1485,T1486,T1497,T1505,T1518,T1542,T1543,T1546,T1547,T1548,T1550,T1552,T1553,T1554,T1555,T1556,T1557,T1558,T1559,T1560,T1562,T1564,T1565,T1566,T1567,T1568,T1569,T1570,T1571,T1572,T1573,T1574,T1583,T1584,T1585,T1587,T1588,T1589,T1598
T1074,0.949885919,2.173454733,1.973258787,0.650596611,0.874892863,0.838778468,0.689629001,0.694749368,0.803372472,0.948869575,1.380177207,0.987551169,1.323478449,0.714121105,0.5807303,1.156844774,1.31627979,0.364130435,0.378433161,0.75820363,1.327545067,0.823128487,1.182466685,0.885888306,0.871512078,0.335418489,0.86829614,0.885543212,1.208237928,0.821872255,2.911303658,0.500774034,0.877022577,2.750983209,2.808392002,1.25620807,1.245970287,0.756585058,1.222596958,1.604788145,1.224516063,0.75068849,1.078587541,0.72826087,1.061691737,0.844132312,0.773953301,4.010407884,1.622719573,0.937047231,0.603510543,1.147406149,0.797759855,1.026429102,0.90769912,1.101611119,0.8149086,0.784837251,0.982395212,0.957744884,0.878989328,1.14310547,0.864275362,0.796947586,0.750321538,0.890096619,1.518755995,0.832298137,0.592292275,0.784820847,0.713897838,0.882740448,0.873913043,0.72826087,1.062328983,1.853612022,0.45767431,0.152173913,2.394024637,0.880629109,0.844749477,1.084928699,0.809178744,0.718297101,0.809178744,1.411580186,1.069465865,0.917693331,0.806143803,0.953938428,0.77055072,1.307898481,0.842499523,1.126635374,0.784586646,1.900935018,1.321914252,0.890176952,0.776811594,1.466624995,0.681360571,0.91404051,0.89632107,0.845418851,1.518103915,0.910717938,1.227812349,0.869700939,1.360465058,1.058197305,0.641570048,0.864864597,0.696872244,1.981990524,0.702846791,2.138973517,1.186657544,1.077904009,0.849637681,0.46557971,0.849637681,0.606370773,0.72928744,0.55896444
T1078,0.857185052,1.794576034,1.632191839,0.642989204,0.82922784,0.826785714,0.636237907,0.657326007,0.745566619,0.876441939,1.240353963,0.855029586,1.192421349,0.654108391,0.510355029,1.097055815,1.1473775,0.360576923,0.319526627,0.702025201,1.146981809,0.794772411,1.125306151,0.814287476,0.821554066,0.27972028,0.850331247,0.857819261,1.071032185,0.80314182,2.595321873,0.461964976,0.86400314,2.234664907,2.441723817,1.039182193,1.062328297,0.679732548,1.108296165,1.3242825,1.089403169,0.738091366,0.987580128,0.721153846,0.967094741,0.761350459,0.764155983,3.211009669,1.389963942,0.829118774,0.565842531,1.04990952,0.720421246,0.961446886,0.795104099,0.967254273,0.77766288,0.742879082,0.914529915,0.838675214,0.809392832,1.059811617,0.854807692,0.723084232,0.751436064,0.881410257,1.334862065,0.824175824,0.468531468,0.749368233,0.661516546,0.874125874,0.865384615,0.721153846,0.90045045,1.53778277,0.42977429,0.144230769,2.169309576,0.84402834,0.72859025,0.936122357,0.801282051,0.709134615,0.801282051,1.202014652,0.919784597,0.830062468,0.795880305,0.902027854,0.684225195,1.200509144,0.744994409,0.95115741,0.747079062,1.786477412,1.139752414,0.845877594,0.769230769,1.2579587,0.614377289,0.835826211,0.887573964,0.79659735,1.273076923,0.835593865,1.0720258,0.805128205,1.139092786,0.951465201,0.626346154,0.827710301,0.619270307,1.699767461,0.691826923,1.845567644,1.066671712,1.010891151,0.841346154,0.456730769,0.841346154,0.566253374,0.685657051,0.495011567
T1080,1.167559483,2.217169461,2.042168082,0.778531514,1.217007666,1.027619047,0.685083435,0.766255144,1.015145397,1.113351255,1.597742568,1.024928775,1.369400794,0.939814815,0.826923077,1.304471696,1.367215893,0.375,0.717948718,0.984477124,2.073137347,0.995836922,1.285641378,1.104997626,1.12428664,0.494949495,0.785976982,0.960790416,1.243547142,0.827752267,3.385276909,0.528538813,0.886666667,2.824497219,4.590532383,1.268503344,1.317708333,0.975146199,1.279234962,1.635319123,1.341879457,1.018819919,1.060810811,0.75,1.436566227,1.11285543,0.922582305,4.77537887,1.603125,0.980417199,0.608305658,1.257083998,1.007010582,1.054861111,0.935389434,1.101851852,0.816702337,0.795534483,1,0.953703703,1.428698686,1.319778281,0.958333333,1.141180416,0.797979798,0.916666667,1.620651142,0.857142857,0.707070707,0.865256931,0.760565052,0.909090909,0.9,0.75,1.06498999,2.349565615,0.507337526,0.583333333,2.390971181,1.011528822,0.821695213,1.101364522,0.833333333,0.881944444,0.833333333,1.377777778,1.028308824,0.896678121,0.960288953,0.967241438,0.736587847,1.367300555,0.91452959,1.103765495,0.842896016,2.075396826,1.365539792,0.967372134,0.8,1.462470938,0.788888889,0.929012346,0.923076923,0.848281048,1.61957672,0.954427885,1.215079365,0.881944444,2.405379443,1.087301587,1.009814815,0.912668066,0.898953301,2.330400491,0.937301588,3.409797845,1.216557734,1.395715323,0.875,0.763888889,0.875,0.854735218,0.950308642,0.880952381
T1082,0.727372235,1.238111219,1.377244961,0.754088187,0.761085573,0.825533968,0.611008058,0.701042328,0.702372562,0.966801843,1.089293217,0.655166667,1.011687952,0.556924242,0.398807692,1.161977769,0.97027588,0.364433824,0.220307692,0.610241013,0.910899329,0.785201153,1.135233124,0.70951916,0.787712248,0.319636364,1.318562673,0.729943448,0.910100276,0.953918322,2.317588871,0.40723999,0.911912306,1.617966807,1.920760638,0.763401617,0.792691964,0.562919447,1.382655324,1.000312412,0.963641589,0.734956105,0.923205187,0.72,0.792287458,0.652213407,0.761768519,2.090391141,1.085309899,0.646726595,0.542210099,0.943882115,0.607390476,0.866041226,0.717622199,0.791494444,0.785199572,0.914375138,0.811703704,0.658555556,0.700065921,0.919374603,0.85642,0.677680975,0.885393218,0.88,1.076096609,0.822857143,0.265090909,0.700975984,0.570972934,0.872727273,0.864,0.72,0.650957928,1.050064028,0.412499806,0.144,1.910119374,0.899690225,0.541401845,0.695374611,0.8,0.707,0.8,0.858514286,0.752411581,0.749727871,0.793341954,0.957034722,0.643358505,1.136397963,0.629813954,0.728062526,0.689716224,1.583507937,0.848823723,0.780328571,0.768,0.927251182,0.570580952,0.697481481,0.886153846,0.753922615,0.908246753,0.789595487,0.903156039,0.690683333,0.888610384,0.780952381,0.622853333,0.832354843,0.529336198,1.237956483,0.688457143,1.459750727,0.895206631,0.929300336,0.84,0.4545,0.84,0.502292398,0.617044444,0.402511278
T1083,0.932805619,2.287328623,2.149032558,0.648781103,0.835360067,0.812705415,0.723187788,0.711615302,0.788992033,0.967457383,1.424749488,1.012573956,1.345584679,0.702302827,0.54326923,1.173808358,1.365830449,0.375,0.331825038,0.749472959,1.252479248,0.818773116,1.208167831,0.869225009,0.847386066,0.319518717,0.957521207,0.926060769,1.246484017,0.857481373,2.952253164,0.556375992,0.90168568,2.938548587,2.52487366,1.288250197,1.304248834,0.743360462,1.310922058,1.690013015,1.265005855,0.708410525,1.120121958,0.737867647,1.055622019,0.807484659,0.75846496,4.223438673,1.718951423,0.974358537,0.630773012,1.18860926,0.789767157,1.06658059,0.944646322,1.156189813,0.855371962,0.84876646,1.018809005,1.002682462,0.81443298,1.1375046,0.862378394,0.767587661,0.764676704,0.901838236,1.562933896,0.844537815,0.598039215,0.793369739,0.73703994,0.895721925,0.886764706,0.738970588,1.133933621,1.875708483,0.476779435,0.066176471,2.497803306,0.910419431,0.884907903,1.157906203,0.821078431,0.699448529,0.821078431,1.480221576,1.125084907,0.953694043,0.788903738,0.979854245,0.812141234,1.34965521,0.858967195,1.177182253,0.801591331,2.005734516,1.392525482,0.901347882,0.788235294,1.558676965,0.701839402,0.963934278,0.909502262,0.884664769,1.572357461,0.929065449,1.278110772,0.91286981,1.223828235,1.118744164,0.573651961,0.888652974,0.685313571,2.010198009,0.666579132,1.952344268,1.214142294,1.054310773,0.862132353,0.413602941,0.862132353,0.577023492,0.706161492,0.522390535
T1087,0.697308739,1.099423949,1.02646116,0.6028197,0.728899199,0.78788296,0.542749661,0.56831134,0.636002064,0.717831002,0.953062511,0.625803213,0.979988456,0.524945235,0.371640408,0.958944218,0.833373975,0.347891566,0.196478221,0.583594181,0.761326468,0.726284913,1.018088834,0.669273247,0.727837808,0.178532311,0.767281269,0.701452982,0.847410156,0.751127854,2.038271189,0.382502313,0.834143103,1.371015372,1.770545158,0.698458863,0.723268072,0.534659023,0.869408621,0.878285751,0.840291601,0.70509385,0.828391126,0.695783133,0.740460146,0.621272444,0.737938312,1.788678294,0.979883038,0.613922356,0.502856335,0.86038426,0.578040734,0.842688588,0.60088885,0.723929049,0.681831661,0.616323333,0.778670237,0.627175368,0.652411098,0.87705516,0.840371486,0.583358248,0.725479841,0.859486333,1.012799484,0.80292599,0.249726177,0.679281527,0.548754848,0.851104954,0.834939759,0.695783133,0.622063537,0.964312149,0.36345169,0.11746988,1.769172521,0.757660416,0.518961221,0.662936664,0.773092369,0.676957831,0.773092369,0.811072863,0.650346238,0.676255015,0.760788845,0.80518438,0.52229513,1.007365233,0.572420768,0.675495056,0.675408303,1.506024097,0.792921087,0.749570663,0.742168675,0.872111746,0.474899598,0.667447568,0.856348471,0.686027851,0.852774483,0.711632651,0.816192543,0.662901606,0.798442831,0.742111302,0.590542169,0.744810972,0.466525353,1.150795799,0.655593804,1.367466171,0.867059473,0.883565889,0.811746988,0.426204819,0.811746988,0.473816318,0.590698277,0.371501042
T1090,0.891232799,1.036448829,0.938817468,0.741314518,1.033792076,1.013074534,0.544056246,0.637514378,0.815519226,0.886453951,1.094597432,0.638865663,1.018825615,0.711273057,0.532608695,1.134005172,0.8257639,0.375,0.434782609,0.771268471,1.335858423,0.892736771,1.118450207,0.883663136,0.957070295,0.286561265,0.695971037,0.696410428,0.855503808,0.765214717,2.508636074,0.359555362,0.858766637,1.24663826,3.493215611,0.683673445,0.70943323,0.67002115,0.895759907,0.82686563,0.941731929,0.969461369,0.812726449,0.75,0.9949042,0.851808492,0.894122384,2.000585887,0.909680707,0.627911045,0.507128279,0.948878372,0.75615942,0.854486931,0.607970634,0.700301932,0.691496848,0.601087007,0.799114332,0.603864734,1.129132102,1.087291728,0.938043478,0.907389992,0.796960286,0.916666667,1.071732332,0.857142857,0.290513834,0.76185309,0.587068779,0.909090909,0.9,0.75,0.570630141,1.238056898,0.395816243,0.456521739,1.74848717,0.870872834,0.476184339,0.611047547,0.833333333,0.839673913,0.833333333,0.759057971,0.597113438,0.660514127,0.932611819,0.843386766,0.484769343,1.062698831,0.607310162,0.635445963,0.709395466,1.607919255,0.771611385,0.835519324,0.8,0.808529215,0.542494824,0.663446055,0.923076923,0.69031941,0.867419537,0.751583384,0.790813755,0.667074275,1.720730233,0.737060042,0.95442029,0.794253261,0.606622119,1.411068075,0.897748448,2.569484092,0.89524783,1.191140949,0.875,0.679347826,0.875,0.68730136,0.803774154,0.624305329
T1091,0.838171959,1.580605385,1.49425526,0.677244152,0.826080869,0.823482143,0.611179793,0.666468254,0.742663057,0.886352727,1.181188453,0.811899039,1.123237815,0.651988636,0.512019231,1.091871218,1.084818728,0.3515625,0.346153846,0.697635825,1.091281151,0.79255491,1.10380636,0.797375801,0.81960029,0.3125,0.971374448,0.833874382,1.010215972,0.831125204,2.450539661,0.437418461,0.858256803,1.988493206,2.346599485,0.96505927,0.977678571,0.664872408,1.145199741,1.215749229,1.031948758,0.746300993,0.949729026,0.703125,0.930367232,0.751068984,0.758680556,2.805707846,1.272265625,0.792337165,0.548748141,1.001186204,0.713913691,0.922247024,0.772523853,0.912065972,0.764713751,0.771267664,0.87962963,0.798611111,0.81067691,1.02059949,0.8409375,0.728293371,0.779626623,0.859375,1.245431256,0.803571428,0.465909091,0.733065173,0.638310185,0.852272727,0.84375,0.703125,0.820741836,1.38647515,0.427762961,0.1875,2.023988006,0.845880326,0.699934124,0.879020468,0.78125,0.70703125,0.78125,1.089285715,0.872587316,0.80436185,0.790072737,0.892965641,0.673627003,1.154267046,0.729924719,0.871278213,0.742384444,1.699404762,1.043647867,0.826855159,0.75,1.147447283,0.610119047,0.80150463,0.865384615,0.778332907,1.169615801,0.814284172,1.012862319,0.776041667,1.120845962,0.900297619,0.6484375,0.815051451,0.615415403,1.547067282,0.697544643,1.783931945,1.009407795,1.001327614,0.8203125,0.4765625,0.8203125,0.57620614,0.688802083,0.511278195
T1092,1.066753642,2.616980851,2.035843484,0.671968811,0.967107228,0.877142857,0.752258853,0.732098765,0.868208181,0.984639017,1.490510158,1.111111111,1.466845131,0.803535353,0.685897436,1.213223974,1.502407708,0.375,0.512820513,0.843954248,1.506509956,0.878983635,1.238188976,0.989138177,0.940686257,0.393939394,0.833095362,1.008782217,1.291740554,0.829588296,3.173622861,0.530006523,0.9,2.972691913,3.004096592,1.38710441,1.396577381,0.843301435,1.241359873,1.721525144,1.364354727,0.811550294,1.163475976,0.75,1.194896422,0.950911307,0.81867284,4.23667474,1.822916667,1.064112388,0.625283767,1.222527911,0.880555556,1.075595238,0.964548319,1.183333333,0.851391118,0.800911077,1.037037037,1.027777778,0.955899906,1.322600151,0.905,0.839481332,0.757575757,0.916666667,1.701252769,0.857142857,0.727272727,0.832106108,0.801282051,0.909090909,0.9,0.75,1.187387388,2.110741796,0.503144654,0.25,2.667416292,0.903759399,0.938076416,1.169590643,0.833333333,0.770833333,0.833333333,1.680952381,1.192647059,0.980647495,0.851412835,0.998234874,0.817696415,1.401044438,0.961505116,1.264650314,0.857780155,1.993386243,1.524254343,0.956084656,0.8,1.686358475,0.742857143,0.990740741,0.923076923,0.898991189,1.675468976,0.978755159,1.33557626,0.941666667,1.46964126,1.119047619,0.706111111,0.917491378,0.779097854,2.389632008,0.754761905,2.311755715,1.321752739,1.140087146,0.875,0.541666667,0.875,0.697246589,0.806481481,0.660401003
T1095,1.027741068,1.607454702,1.476501608,0.752684489,1.122354497,1.001530612,0.60764652,0.703521038,0.913691518,0.989720485,1.336523042,0.843940781,1.182307084,0.83372114,0.704212454,1.197712139,1.060177839,0.366071429,0.608058608,0.883899393,1.695127422,0.937369263,1.185710045,0.990295584,1.035681902,0.415584416,0.737246112,0.798411109,1.042643753,0.78187674,2.890118248,0.439713214,0.856705539,2.011467442,3.987895907,0.986422615,1.017219388,0.833475735,1.079117554,1.22971636,1.131866804,0.9841706,0.93084379,0.732142857,1.217319074,0.985640166,0.893628748,3.345024669,1.246168155,0.817724868,0.552118605,1.086910458,0.890447846,0.943654336,0.780166233,0.90188492,0.749340748,0.698019802,0.893738977,0.78968254,1.276176745,1.190875715,0.930119048,1.01946201,0.782750979,0.89484127,1.334548607,0.836734694,0.543290043,0.805572413,0.674768519,0.887445887,0.878571429,0.732142857,0.815425247,1.777740093,0.456873315,0.535714286,2.027414864,0.933190118,0.672830793,0.868629908,0.813492063,0.849702381,0.813492063,1.065589569,0.82638743,0.783376827,0.930786467,0.894123777,0.624850169,1.198934448,0.750547972,0.864019889,0.755045935,1.809429328,1.066117499,0.89590514,0.780952381,1.131347468,0.675340136,0.800925926,0.901098901,0.768773069,1.248051948,0.84605119,1.001513359,0.777529762,2.010458516,0.909863945,0.977579365,0.846003899,0.768316562,1.840201873,0.906037415,2.965816359,1.049826738,1.27683629,0.854166667,0.723214286,0.854166667,0.780118699,0.879530423,0.765127103
T1098,1.09377335,2.270881801,1.981395349,0.692210526,1.025268817,0.906857143,0.713205128,0.744603175,0.902430107,1.015034562,1.475163337,1.080128205,1.389236546,0.836136364,0.703846154,1.203750597,1.415675091,0.375,0.553846154,0.883700981,1.574294804,0.908527132,1.242632171,0.993269231,0.982626436,0.418181818,0.804114746,0.917253655,1.258931224,0.820451626,3.106991232,0.535958904,0.9,2.823544466,3.264526266,1.324429149,1.326339286,0.863636364,1.209748462,1.673116401,1.307018633,0.850827873,1.121114865,0.75,1.238813559,0.986580145,0.836111111,4.170609605,1.6890625,1.042835249,0.627390334,1.210717703,0.946428572,1.080803571,0.964635854,1.163333333,0.852889246,0.785901548,1.040740741,1.033333333,1.080568495,1.254965986,0.913,0.949027498,0.763636363,0.916666667,1.620338415,0.857142857,0.745454545,0.842735769,0.782799145,0.909090909,0.9,0.75,1.123220721,2.109876543,0.509433962,0.3,2.463793104,0.946466166,0.939525692,1.180701754,0.833333333,0.7875,0.833333333,1.502380953,1.140882353,0.968963646,0.870043103,0.976611571,0.819450801,1.359296482,0.893506493,1.174534072,0.830561216,2.01984127,1.411392049,0.961047619,0.8,1.560136253,0.76,0.994444445,0.923076923,0.900038309,1.614458874,0.955431183,1.280641822,0.94375,1.987901222,1.128571428,0.771,0.913900135,0.801668352,2.244783307,0.787142857,2.669343437,1.260571665,1.234117647,0.875,0.575,0.875,0.73004386,0.841666667,0.766165413
T1102,1.107490361,1.746490893,1.515960444,0.777946035,1.184714755,1.04037594,0.63634835,0.733741762,0.966162167,1.050175169,1.394113887,0.890125956,1.241971568,0.872115896,0.727732793,1.250866855,1.147700605,0.375,0.669365722,0.940724974,1.82581341,0.984926787,1.235128778,1.043794047,1.099049182,0.454120149,0.745479109,0.841597114,1.082602865,0.803134502,3.123528679,0.448175233,0.877909058,2.10841876,4.355411647,1.039439662,1.060659461,0.86764459,1.130009944,1.28871823,1.218290291,1.040074116,0.971157012,0.75,1.283782337,1.063177612,0.922474009,3.423976401,1.31963633,0.864112388,0.566977369,1.131180923,0.948299917,0.968045113,0.816007543,0.935696881,0.771099096,0.71065965,0.920077973,0.81871345,1.375586866,1.281987178,0.955526316,1.109592055,0.802687676,0.916666667,1.408745183,0.857142857,0.585326954,0.83207257,0.709576648,0.909090909,0.9,0.75,0.857171645,1.90083804,0.479472354,0.565789474,2.131412364,0.972391505,0.707301852,0.896583564,0.833333333,0.876096491,0.833333333,1.153634085,0.874628053,0.815701263,0.96816764,0.93288789,0.65038741,1.251010197,0.791325958,0.920283098,0.778998772,1.843776107,1.128367872,0.928052075,0.8,1.202081359,0.707769423,0.828947368,0.923076923,0.794570387,1.299377231,0.884797068,1.050303294,0.805263158,2.305386562,0.93358396,1.033128655,0.878049262,0.806761807,2.035406874,0.94216792,3.348703138,1.107815763,1.345597982,0.875,0.752192982,0.875,0.818726275,0.924244639,0.831381084
T1104,0.878102206,1.449332172,1.314839424,0.702412281,0.921580981,0.900178571,0.61386218,0.673710317,0.786707672,0.886160714,1.179339078,0.783253205,1.135481852,0.684232954,0.543269231,1.113488414,1.052717456,0.375,0.384615385,0.741115196,1.167417816,0.850290698,1.145815757,0.83573718,0.88440218,0.306818182,0.856872242,0.818970894,0.991786484,0.822085083,2.511267497,0.423954256,0.890204082,1.780444543,2.591596454,0.902716323,0.922991071,0.693032297,1.053463794,1.115447994,1.025543478,0.84121574,0.940350507,0.75,0.986228813,0.811621956,0.830729167,2.549236887,1.189257813,0.766427203,0.555724907,1.000493421,0.754464286,0.93454241,0.741563813,0.8703125,0.768258427,0.723042463,0.886574074,0.760416667,0.91073296,1.060714286,0.91,0.781794936,0.802624459,0.916666667,1.227089965,0.857142857,0.420454545,0.768691589,0.647235577,0.909090909,0.9,0.75,0.762514076,1.389957265,0.431603774,0.28125,2.012134558,0.882142857,0.649950593,0.814692983,0.833333333,0.78125,0.833333333,1.021130953,0.810087316,0.785517273,0.864493535,0.907822543,0.631721968,1.156207508,0.700716866,0.825362055,0.757142121,1.726190476,0.991273353,0.861458333,0.8,1.073126521,0.604464286,0.784722222,0.923076923,0.778109437,1.1004329,0.821317997,0.971363872,0.76953125,1.338427283,0.875,0.75875,0.837339744,0.630687563,1.556815142,0.778125,2.065807489,1.010609983,1.075367647,0.875,0.5625,0.875,0.625822368,0.7328125,0.567199248
T1105,0.926846907,1.912560334,1.773626286,0.671553626,0.914181724,0.880034364,0.653579039,0.682710984,0.806147642,0.929640363,1.337235277,0.902909948,1.247745939,0.717739248,0.565292096,1.147714198,1.187660178,0.371134021,0.390166535,0.769720145,1.325863651,0.847276268,1.176465914,0.882882486,0.8906976,0.312360721,0.822784235,0.862104616,1.129810998,0.811718531,2.808704623,0.495609758,0.88134044,2.433945719,2.904420189,1.107234103,1.137472386,0.745224375,1.141332226,1.425894446,1.158791345,0.802600856,1.01675523,0.742268041,1.068447784,0.835701582,0.807305587,3.657607404,1.46570746,0.872207081,0.586143137,1.115826671,0.786720668,1.004905954,0.837478763,1.020203322,0.796939669,0.751033939,0.952455701,0.882206949,0.94236791,1.12169594,0.890721649,0.817040463,0.766002169,0.907216495,1.415687342,0.848306333,0.513901905,0.786886837,0.691628484,0.899718838,0.890721649,0.742268041,0.964992183,1.720008,0.45020424,0.216494845,2.256915357,0.892960063,0.758739343,0.997481036,0.824742268,0.75257732,0.824742268,1.258370153,0.953430954,0.856101112,0.841607154,0.924661483,0.701458188,1.254517795,0.780757461,1.001844286,0.775610565,1.904352807,1.209367765,0.884106256,0.791752577,1.328281944,0.656954672,0.873361334,0.913560666,0.820178504,1.375967331,0.870249624,1.122757171,0.836884307,1.367491917,1.008672885,0.706552119,0.855575699,0.677665084,1.830441061,0.748171331,2.180261172,1.115593121,1.103741886,0.865979381,0.515463918,0.865979381,0.624191134,0.744019664,0.563896856
T1106,0.821947459,1.886126502,1.710656331,0.612876413,0.752827061,0.792895238,0.656253968,0.649269841,0.704053212,0.840331541,1.229910467,0.876965812,1.225608399,0.608121212,0.447692307,1.069663429,1.174468561,0.37,0.221538462,0.658480392,0.973921527,0.767338501,1.126813106,0.775256411,0.767820371,0.226666667,0.852573122,0.879840152,1.105771387,0.810065857,2.547969714,0.482283105,0.884716553,2.361886685,1.985156592,1.077954041,1.098333333,0.640191388,1.096891721,1.388639132,1.093044858,0.676024331,1.025093844,0.74,0.902757062,0.703856926,0.74287037,3.23674208,1.471104167,0.850462324,0.584481321,1.063079745,0.682952381,0.995690476,0.813642624,1.012833333,0.8023542,0.748949937,0.947160494,0.875555555,0.673566562,1.04107483,0.855066667,0.644091214,0.747287157,0.904444445,1.366036745,0.845714286,0.444848485,0.751486831,0.672820513,0.896969697,0.888,0.74,0.952046547,1.494384299,0.42815494,0.01,2.265235716,0.824685046,0.761317523,0.98245614,0.822222222,0.681666667,0.822222222,1.273587302,0.964446896,0.862198027,0.773793103,0.916520967,0.71077549,1.221865799,0.743458539,1.001828381,0.761757976,1.835132275,1.189037786,0.851707936,0.789333333,1.330199513,0.603333333,0.868888889,0.910769231,0.824095688,1.30987013,0.8481447,1.119968254,0.835,0.904883898,0.992380952,0.525866667,0.837731294,0.576986856,1.692145532,0.639095238,1.53424611,1.099233913,0.953398693,0.863333333,0.376666667,0.863333333,0.505584795,0.636722222,0.416290727
T1110,0.929928245,1.984263124,1.762520487,0.671822222,0.899023297,0.875542857,0.67325641,0.689597883,0.800308752,0.933064516,1.340701954,0.923461538,1.277243777,0.709924242,0.56076923,1.165754101,1.266865209,0.375,0.369230769,0.759411765,1.303493814,0.842377261,1.186434196,0.88267094,0.882472172,0.305454546,0.865957944,0.87209678,1.14457896,0.830491726,2.833515869,0.490968689,0.896130612,2.443594888,2.806467391,1.130562657,1.155446429,0.73645933,1.170547379,1.440877524,1.177412008,0.787672796,1.044155406,0.75,1.056696045,0.829696726,0.80462963,3.583584382,1.5038125,0.89245977,0.59393368,1.121291866,0.780809524,1.014053571,0.848546919,1.035,0.811621188,0.770907823,0.965185185,0.896666667,0.902511012,1.146303855,0.8938,0.787290409,0.775497835,0.916666667,1.445254928,0.857142857,0.523636363,0.790889266,0.704722222,0.909090909,0.9,0.75,0.9795,1.722443811,0.452830189,0.18,2.320404798,0.891218045,0.781581028,1.008070175,0.833333333,0.7475,0.833333333,1.313238096,0.987742647,0.876651836,0.838204023,0.945516376,0.721693364,1.277589122,0.795937836,1.032601191,0.789664917,1.894603175,1.240384885,0.893225397,0.8,1.368323114,0.656285714,0.887777778,0.923076923,0.835780871,1.391255411,0.885034175,1.149652174,0.85225,1.31834443,1.014285714,0.681533333,0.868533513,0.671752612,1.88721598,0.737428572,2.107514487,1.142819111,1.089124183,0.875,0.495,0.875,0.615204678,0.740111111,0.550225564
T1111,0.704738184,0.658304298,0.606016981,0.651461988,0.83546147,0.924761905,0.488644689,0.545502645,0.667604862,0.696620584,0.870372124,0.495726496,0.891461549,0.548484848,0.358974359,0.972049689,0.615531448,0.375,0.205128205,0.610294117,0.844043832,0.784237726,1.008905137,0.714209402,0.791850102,0.121212121,0.593284874,0.681501838,0.730489655,0.709099425,1.96003179,0.315068493,0.84,0.800741858,2.346736611,0.491769547,0.523809524,0.515151515,0.66265744,0.584105965,0.732091097,0.842739378,0.725788288,0.75,0.757740113,0.656074391,0.831018519,1.135595724,0.70625,0.496296297,0.475152416,0.811124402,0.582142857,0.8,0.479166667,0.583333333,0.642857143,0.501650165,0.740740741,0.5,0.816902748,0.909297052,0.905,0.668678739,0.757575757,0.916666667,0.86702593,0.857142857,0.090909091,0.701854999,0.512820513,0.909090909,0.9,0.75,0.432432432,0.779993669,0.333333333,0.25,1.550224888,0.747869674,0.363636364,0.473684211,0.833333333,0.770833333,0.833333333,0.566666667,0.453125,0.578730331,0.866738506,0.767340067,0.391304348,0.927125825,0.47967773,0.493760941,0.660241229,1.473544974,0.587442056,0.765396825,0.8,0.616642336,0.416666667,0.583333333,0.923076923,0.634146341,0.626551226,0.657332757,0.654416839,0.6,1.069445825,0.642857143,0.768333333,0.72717049,0.440849343,0.995006242,0.788095238,1.704175423,0.77379177,0.995424837,0.875,0.541666667,0.875,0.529239766,0.652777778,0.409774436
T1112,0.691877732,1.157268346,1.059940859,0.612671395,0.709900013,0.811600811,1.591584647,0.58700045,0.632821926,0.715558307,0.978722636,0.654130499,1.022426989,0.5208696,0.353518822,0.968513533,0.883630172,0.933965609,0.137479542,0.577918579,0.689191148,0.740213866,1.04558373,0.673497454,0.717372498,0.141199226,0.762233214,0.733717638,0.89095222,0.77030949,2.064037825,0.393133285,0.871812129,1.48614499,1.54180097,0.739247794,0.765046299,0.532462079,0.846094941,0.926362663,0.843044359,0.702305301,0.869524393,0.747606383,0.742095805,0.605783975,0.761352443,1.872454482,1.032607113,0.646907883,1.157032147,0.888371661,0.576570415,0.89393522,0.62783837,0.779209194,0.729655465,0.632657048,0.839834516,0.676122931,0.598267005,0.894109133,0.870321195,0.552313289,0.758324122,0.913741135,1.052506805,0.857142857,0.235009671,0.711013244,0.575713597,0.909090909,0.9,0.75,0.65379169,0.961154553,0.371183925,0.039893617,2.079958056,0.761784781,0.557487456,0.70968645,0.833333333,0.700797872,0.833333333,0.862646129,0.691322554,0.717596516,0.790626656,0.859483842,0.554623724,1.123118184,0.6950841,1.497764727,0.754702946,1.620947315,0.900992007,0.793161094,0.8,0.922953303,0.485587639,0.719070134,0.923076923,0.732257503,0.898998418,0.752633637,0.876895936,0.713453014,0.669440523,0.803444782,0.558014184,0.775311847,0.461910535,1.158340258,0.661778116,1.20059685,0.904743018,0.887129745,0.875,0.401595745,0.875,0.458959344,0.584426714,0.335986242
