,,T1001,T1003,T1005,T1007,T1008,T1010,T1011,T1012,T1014,T1016,T1018,T1021,T1025,T1027,T1029,T1030,T1033,T1036,T1037,T1039,T1040,T1041,T1046,T1047,T1048,T1049,T1052,T1053,T1055,T1056,T1057,T1059,T1068,T1069,T1070,T1071,T1072,T1074,T1078,T1080,T1082,T1083,T1087,T1090,T1091,T1092,T1095,T1098,T1102,T1104,T1105,T1106,T1110,T1111,T1112,T1113,T1114,T1115,T1119,T1120,T1123,T1124,T1125,T1127,T1129,T1132,T1133,T1134,T1135,T1136,T1137,T1140,T1176,T1185,T1187,T1189,T1190,T1195,T1197,T1199,T1200,T1201,T1202,T1203,T1204,T1205,T1207,T1210,T1213,T1216,T1217,T1218,T1219,T1220,T1221,T1222,T1480,T1482,T1484,T1485,T1486,T1491,T1497,T1505,T1518,T1528,T1530,T1534,T1539,T1542,T1543,T1546,T1547,T1548,T1550,T1552,T1553,T1554,T1555,T1556,T1557,T1558,T1559,T1560,T1562,T1563,T1564,T1565,T1566,T1567,T1568,T1569,T1570,T1571,T1572,T1573,T1574,T1583,T1584,T1585,T1586,T1587,T1588,T1589,T1590,T1591,T1592,T1594,T1595,T1598,T1601,T1606
T1069,0,0.237371155,0.294762347,0.168823702,0.40182427,0.25400511,0.1581729,0,0.146593539,0.2335406,0.27801766,0.243231277,0.434795326,0.207829387,0.303974586,0.076294393,0.019264495,0.382332859,0.284844879,0.185706496,0.087458692,0.133167139,0.217731764,0.294107419,0.315540495,0.220654113,0.300007498,0.080773295,0.281147125,0.32571738,0.286200933,0.228100258,0.550963739,0,0.585612835,0.243299058,0.383982277,0.41708855,0.146064802,0.168614372,0.079608586,0.319909677,0.236084854,0.261779755,0.292819738,0.270680896,0.240806187,0.263838633,0.017593333,0.260452907,0.499833505,0.323986585,0.336759476,0.190968626,0,0.187781778,0.267796056,0.057638534,0,0.2845403,0.222999895,0.087719298,0.281332849,0,0,0.237329937,0.214045736,0.284444888,0.31993638,0.225613689,0.182293579,0,0.363766295,0,0.195384511,0.090918817,0.267330965,0.257944041,0.454594083,0.328098068,0.033367084,0,0.41708855,0,0.315102683,0.218882287,0,0,0.190082224,0,0,0.035087719,0.400902399,0.388882654,0.08341771,0.222085845,0.260537218,0,0.306312143,0.41708855,0.109367139,0.239637593,0,0.313653654,0.240149912,0.311408435,0,0,0,0,0.299820284,0.273460588,0.207794156,0.182961881,0.242275085,0.178671533,0.178197057,0.237923855,0.119262976,0.210158161,0.241249271,0.315789474,0.441895364,0.364488308,0.214135672,0.259087079,0,0.27437043,0.236429236,0.168474155,0.275289727,0.32562759,0.326298578,0.222688245,0.370201676,0.248942019,0.34036384,0.388799744,0.247626259,0,0.057330054,0,0.334648809,0.19435689,0.169893744,0,0,0,0,0,0.06523149,0,0
T1070,4,0.30718599,0.460878689,0.419488477,0.231723006,0.148471993,0.0892999,0,0.211897888,0.233112594,0.330057768,0.269762199,0.48456351,0.450213549,0.378374075,0.332828323,0.016433794,0.372716695,0.431516094,0.11240767,0.392761452,0.248865441,0.320995433,0.247849401,0.289382682,0.275218263,0.303999812,0.361511607,0.327918527,0.391993548,0.369646155,0.252475016,0.515861144,0,0.237382713,0.547745527,0.428433075,0.235476279,0.357911479,0.349218239,0.343813915,0.413723613,0.472878009,0.290239048,0.240034268,0.42045766,0.135952293,0.318289516,0.01500819,0.346207568,0.282191716,0.476426488,0.464492317,0.329937169,0,0.246003663,0.375829941,0.25771051,0,0.485039494,0.372452568,0.495238095,0.438377712,0,0,0.303270159,0.255756279,0.340245938,0.179629424,0.325330201,0.109895667,0,0.497909232,0,0.342631065,0.513301662,0.303261332,0.148288779,0.256650831,0.182627115,0.028464166,0,0.235476279,0,0.555125774,0.397213312,0,0,0.282464254,0,0,0.029931973,0.468508045,0.266574368,0.470952557,0.517586848,0.513684612,0,0.43233771,0.235476279,0.617455617,0.558694623,0,0.406589561,0.138838834,0.323874759,0,0,0,0,0.16717737,0.350956286,0.281342891,0.311858379,0.294158154,0.301037939,0.376184336,0.329191705,0.673324689,0.405554884,0.346550131,0.445714286,0.246259462,0.495782411,0.394478421,0.264676217,0,0.423816174,0.321887384,0.357243252,0.328983385,0.205928539,0.27703299,0.345881298,0.371140348,0.288741275,0.404591972,0.452834736,0.253795783,0,0.250097878,0,0.188933156,0.114136829,0.273727553,0,0,0,0,0,0.213211603,0,0
T1071,0,0.511937475,0.545520947,0.41981178,0.658597518,0.510166821,0.193452789,0,0.229339633,0.39242853,0.556192533,0.487494709,0.735938103,0.471495723,0.460496292,0.424517015,0.215736828,0.618328123,0.510920157,0.227127654,0.477382044,0.374808184,0.532532346,0.530888267,0.511685186,0.437528694,0.589809299,0.43507404,0.441549323,0.523838419,0.493833638,0.375886918,0.852114267,0,0.518436383,0.456647201,0.901323581,0.510118632,0.361289301,0.391699178,0.458187826,0.587157457,0.480422785,0.470002889,0.558414891,0.453632235,0.29451713,0.549742442,0.197022028,0.555488066,0.611319547,0.647701389,0.531118475,0.402064936,0,0.288068698,0.523950535,0.320539754,0,0.606701456,0.382512303,0.311258278,0.574564089,0,0,0.366895416,0.480065009,0.520333844,0.390979028,0.569513741,0.333750598,0,0.637512734,0,0.344529486,0.322611271,0.457978918,0.418961365,0.555989637,0.400447848,0.373667146,0,0.510118632,0,0.55966881,0.520873629,0,0,0.398781175,0,0,0.392935983,0.584461642,0.451732877,0.295994762,0.447395466,0.4854658,0,0.492060367,0.510118632,0.38807227,0.481991984,0,0.483044079,0.420323411,0.492600864,0,0,0,0,0.366027011,0.467970097,0.373847301,0.329220523,0.41691515,0.309424695,0.398414532,0.456005216,0.423186111,0.379533938,0.544882067,0.507284768,0.539431368,0.578921597,0.459720062,0.435158593,0,0.49676123,0.37462132,0.524822094,0.415531923,0.532262427,0.48478364,0.550931219,0.667783937,0.371686702,0.691245736,0.638386483,0.464932449,0,0.318995703,0,0.409291007,0.400510731,0.424572813,0,0,0,0,0,0.459202198,0,0
T1072,0,0.341054496,0.425165678,0.256344021,0.585142711,0.347975339,0.240422808,0,0.216427893,0.320522319,0.380734113,0.337606184,0.544569323,0.328455132,0.454478285,0.106762746,0,0.486666795,0.402438342,0.282273874,0.126585698,0.196794879,0.300027214,0.399984444,0.460925921,0.303723826,0.400187927,0.116597799,0.39651286,0.466655886,0.433782194,0.329089242,0.722346496,0,0.586531231,0.362229862,0.500213853,0.800017557,0.232707697,0.26784955,0.109834957,0.4364815,0.355558147,0.381144812,0.383646825,0.409937558,0.366025404,0.373736207,0,0.363851743,0.759746927,0.449281846,0.502895539,0.298818569,0,0.295076918,0.408792081,0.083763199,0,0.440469014,0.346863707,0.166666667,0.429978771,0,0,0.373401367,0.29459376,0.391598883,0.460480206,0.326182827,0.260096789,0,0.509307891,0,0.314359006,0.172745752,0.39624671,0.367024599,0.690983006,0.431202934,0,0,0.633974596,0,0.507159602,0.317325471,0,0,0.290585365,0,0,0,0.55146639,0.447054349,0.158493649,0.372080534,0.423432695,0,0.484994226,0.633974596,0.207797563,0.377544749,0,0.475237659,0.334418446,0.458592672,0,0,0,0,0.401554879,0.387183062,0.300882418,0.274278502,0.364140704,0.286550342,0.284369572,0.346853609,0.226599655,0.322330952,0.359577758,0.5,0.588270743,0.553780678,0.322128211,0.37643766,0,0.421824831,0.340753661,0.234652721,0.379088069,0.413437294,0.466386988,0.327731614,0.554015033,0.3636776,0.4512337,0.526109521,0.347184203,0,0.080224952,0,0.50866619,0.269315539,0.250390146,0,0,0,0,0,0.06333661,0,0
T1074,2,0.334897339,0.471780743,0.46448667,0.216844035,0.161915496,0.066203382,0,0.224170052,0.23494055,0.347262651,0.288629797,0.46417963,0.49282899,0.372746747,0.425399263,0.063656592,0.349673315,0.474029825,0.077727588,0.497993897,0.291065323,0.377772069,0.250980733,0.275770626,0.29356056,0.317171432,0.456163257,0.330720924,0.379901857,0.375471495,0.258137652,0.469555503,0,0.166844542,0.445133275,0.436873013,0.174572715,0.628706063,0.380640552,0.445449863,0.432555474,0.528086066,0.294102819,0.251589477,0.415010225,0.100789604,0.345888366,0.058134492,0.376711415,0.209205676,0.48767337,0.451096897,0.355296136,0,0.259880168,0.420128989,0.343682421,0,0.528568106,0.375118857,0.560386474,0.474933744,0,0,0.298222903,0.286749936,0.349320002,0.129147118,0.380174337,0.140539871,0,0.498330949,0,0.354735025,0.580826295,0.299237937,0.136431541,0.190270683,0.124875705,0.110256451,0,0.174572715,0,0.573988787,0.440622667,0,0,0.305448999,0,0,0.115942029,0.435937223,0.209397116,0.532906182,0.545906454,0.539759321,0,0.432980353,0.174572715,0.698681662,0.578364274,0,0.394227548,0.13535262,0.325000445,0,0,0,0,0.115499205,0.36266867,0.311104625,0.335054462,0.294502375,0.309957873,0.406652648,0.340596029,0.761900289,0.418049568,0.390400279,0.446376812,0.169572497,0.483910594,0.426943989,0.260612661,0,0.455419933,0.315755709,0.431204742,0.311844689,0.194753219,0.256099386,0.400010792,0.379295081,0.274713306,0.426375526,0.453984789,0.26708793,0,0.319658652,0,0.140067502,0.128973056,0.3163415,0,0,0,0,0,0.314221202,0,0
T1078,3,0.283673974,0.398576388,0.381542474,0.196643941,0.153858097,0.055482186,0,0.167712883,0.210559297,0.303149463,0.251100609,0.425333283,0.395867608,0.298495373,0.352680645,0.070389501,0.321765583,0.371130886,0.065140125,0.412813757,0.247877299,0.315248609,0.225444898,0.233037269,0.2533883,0.284409932,0.375854746,0.269911011,0.321440368,0.307625177,0.20837244,0.414786077,0,0.144203842,0.362047492,0.394791117,0.14630183,0.32299065,0.456965539,0.373465598,0.360632078,0.408195612,0.247742893,0.229746914,0.336000313,0.084467401,0.298394984,0.064283333,0.32426891,0.175326214,0.421923962,0.37145146,0.290132142,0,0.187230748,0.330522039,0.276032122,0,0.429696774,0.300933367,0.435897436,0.386554118,0,0,0.23711407,0.251379712,0.303449929,0.110159549,0.3207379,0.107936063,0,0.42836548,0,0.27970248,0.451796581,0.250444426,0.124266284,0.159457617,0.109690289,0.121918192,0,0.14630183,0,0.453475733,0.370311007,0,0,0.253217588,0,0,0.128205128,0.367935933,0.215404823,0.414521851,0.433400548,0.424599791,0,0.343226683,0.14630183,0.54347055,0.465539517,0,0.32197025,0.125577925,0.260953178,0,0,0,0,0.100837243,0.295070202,0.239665184,0.256456323,0.242280783,0.244610837,0.329139087,0.282245111,0.592645252,0.340365768,0.32743283,0.353846154,0.148335512,0.389682373,0.350419416,0.220591582,0,0.350314918,0.252711768,0.365903911,0.251968704,0.192432466,0.219664578,0.335862999,0.318987783,0.220862641,0.378093542,0.384350213,0.231129814,0,0.26501555,0,0.117384505,0.123695078,0.264052951,0,0,0,0,0,0.279613101,0,0
T1080,0,0.54018466,0.576594751,0.511345105,0.574261582,0.492923478,0.133568227,0,0.221950367,0.439976847,0.578520792,0.501561572,0.720495937,0.545053434,0.425105845,0.581785331,0.284686425,0.600494361,0.529623274,0.156818819,0.664382579,0.445175226,0.59935576,0.507159592,0.461475751,0.461050163,0.598249472,0.597705498,0.416151076,0.50049074,0.486682478,0.358966893,0.769175497,0,0.365268105,0.487757326,0.767116436,0.352208109,0.431294294,0.444711452,0.80222003,0.601435699,0.536923256,0.459370937,0.548228278,0.449173407,0.203347447,0.579680771,0.259990367,0.597940359,0.422081626,0.688412919,0.508922939,0.440531745,0,0.265778118,0.544245574,0.453328725,0,0.663206408,0.393102976,0.444444445,0.618482165,0,0,0.341077094,0.521651185,0.534136281,0.273169003,0.636725409,0.309673436,0,0.653704369,0,0.358041919,0.460655337,0.43686454,0.364500084,0.383879448,0.28490444,0.493091352,0,0.352208109,0,0.578134991,0.60100986,0,0,0.427577577,0,0,0.518518519,0.532596268,0.363343799,0.422649731,0.510472324,0.524632805,0,0.474216577,0.352208109,0.554126835,0.54618411,0,0.453088287,0.382246857,0.452511332,0,0,0,0,0.259476063,0.46673374,0.374128019,0.34353157,0.403588939,0.317207205,0.454390991,0.469021693,0.604265747,0.411640869,0.602157705,0.488888889,0.382847904,0.548253656,0.512052468,0.409301454,0,0.508067647,0.361073793,0.651723554,0.38447342,0.483997526,0.423698822,0.623834726,0.630978482,0.337198955,0.726761926,0.62110592,0.465582569,0,0.43717216,0,0.282592328,0.395298475,0.480653991,0,0,0,0,0,0.622919293,0,0
T1082,0,0.257671533,0.321852259,0.247777854,0.318530329,0.225497979,0.107709418,0,0.146396963,0.215295555,0.286723833,0.24761057,0.411494202,0.27596419,0.280435345,0.205590536,0.065884573,0.344425893,0.304562135,0.130164609,0.235089136,0.186678695,0.263970152,0.26578943,0.272055327,0.232301694,0.294487734,0.21600452,0.260470084,0.306778538,0.281619293,0.210716168,0.469299151,0,0.285317018,0.275260098,0.38359725,0.284020619,0.211375206,0.221505742,0.216836791,0.483926899,0.290655294,0.249887136,0.271577722,0.276405376,0.163979381,0.279832998,0.060169199,0.287335235,0.340366623,0.351320295,0.326657667,0.225286444,0,0.177915948,0.286758373,0.157837706,0,0.336019375,0.236496139,0.216,0.316959939,0,0,0.220961633,0.235313483,0.28696147,0.216219301,0.275362575,0.156107148,0,0.372108243,0,0.214500926,0.223878494,0.249714732,0.202825149,0.309560387,0.219122447,0.114115427,0,0.284020619,0,0.347351851,0.279483759,0,0,0.213330968,0,0,0.12,0.358751066,0.293662726,0.205407769,0.287304726,0.305942212,0,0.299532434,0.284020619,0.269305642,0.307942674,0,0.29527928,0.196783511,0.278056497,0,0,0,0,0.200715611,0.270454535,0.213188018,0.202463861,0.232232667,0.191845708,0.232144106,0.248756321,0.293673153,0.244885118,0.277739448,0.3088,0.295600982,0.34860857,0.261613102,0.235918371,0,0.290061334,0.22540886,0.261417503,0.245680356,0.270536807,0.269552594,0.275259696,0.344523452,0.220179421,0.354284363,0.369292225,0.240237759,0,0.154487324,0,0.227882453,0.176993508,0.21368005,0,0,0,0,0,0.187338043,0,0
T1083,2,0.338076247,0.505428647,0.488299638,0.21129755,0.140381445,0.07778385,0,0.22575748,0.243773311,0.354826955,0.289700027,0.502696025,0.519163,0.404104739,0.411396593,0.02511939,0.377700514,0.470855358,0.094091291,0.484464644,0.286335881,0.358377469,0.252378012,0.295173399,0.299539204,0.319679606,0.445970513,0.346723041,0.415073059,0.401081052,0.265952332,0.518381727,0,0.204903538,0.472104756,0.452370626,0.205109428,0.420514298,0.399846597,0.425389226,0.442208926,0.646884868,0.307844893,0.244973193,0.460032772,0.118419984,0.346667075,0.022940327,0.380378605,0.245800476,0.517865814,0.500559237,0.372350431,0,0.261396497,0.419367678,0.318315036,0,0.550145357,0.413109274,0.60130719,0.49235638,0,0,0.327459975,0.279840196,0.363311485,0.155643154,0.369360337,0.105935645,0,0.536005958,0,0.385906618,0.623239574,0.321084567,0.134735638,0.223553325,0.156928396,0.043508061,0,0.205109428,0,0.624963915,0.451245563,0,0,0.31448078,0,0,0.045751634,0.485085698,0.245286932,0.571820224,0.594434453,0.585805004,0,0.473582597,0.205109428,0.749701013,0.6337978,0,0.436193376,0.127750278,0.337230696,0,0,0,0,0.143895177,0.374127288,0.304711988,0.339427146,0.315207546,0.337494217,0.429860931,0.360024506,0.81753601,0.456349277,0.388831416,0.488235294,0.211848879,0.535756278,0.448180034,0.276070526,0,0.467224748,0.350258455,0.420480445,0.350547174,0.192912054,0.277714231,0.393649853,0.391045489,0.30647124,0.434621611,0.473814891,0.269338713,0,0.309136597,0,0.164568473,0.10836338,0.312859071,0,0,0,0,0,0.267619974,0,0
T1087,1,0.201094005,0.248591213,0.178748853,0.271916791,0.191862517,0.092693131,0,0.1128865,0.181912183,0.229658165,0.199843159,0.340086047,0.199780782,0.22115936,0.142692275,0.052919336,0.290127381,0.238464621,0.108828482,0.16094127,0.14054303,0.205054998,0.222634387,0.221151119,0.186119419,0.24126308,0.148834045,0.210057734,0.24504272,0.219730009,0.169276274,0.389573067,0,0.247387896,0.207105229,0.310554448,0.244423941,0.150965054,0.160873468,0.149871564,0.258912056,0.214642827,0.367632252,0.229055131,0.207787383,0.141118228,0.222139999,0.048328674,0.227133992,0.292914478,0.270425291,0.253644755,0.168186844,0,0.135972039,0.221319872,0.109867343,0,0.251622976,0.176116357,0.136546185,0.240371942,0,0,0.171417098,0.188141799,0.232088862,0.18688852,0.212234958,0.133197965,0,0.294313147,0,0.1588784,0.14152664,0.197157044,0.173531795,0.266403087,0.190699879,0.091658978,0,0.244423941,0,0.256810488,0.210183925,0,0,0.162943254,0,0,0.096385542,0.289370951,0.273097645,0.129850218,0.203154458,0.222707814,0,0.229057514,0.244423941,0.170243787,0.217957386,0,0.231053303,0.168103817,0.224813708,0,0,0,0,0.174439221,0.215079757,0.166607533,0.151268294,0.181643446,0.142941459,0.167506735,0.191943246,0.18564791,0.182716381,0.212972465,0.236144578,0.257017129,0.267733719,0.195378579,0.190631031,0,0.219340115,0.174020108,0.196022666,0.193644368,0.240135159,0.225106528,0.210057219,0.276215123,0.1737823,0.286165119,0.301702421,0.195906496,0,0.107223553,0,0.196112266,0.151013703,0.162726823,0,0,0,0,0,0.139509349,0,0
T1090,1,0.386330134,0.377957221,0.2647203,0.555732877,0.440042017,0.156797483,0,0.158755865,0.334949135,0.427465516,0.383158876,0.563977274,0.301501926,0.322960159,0.291143677,0.19892685,0.500364818,0.361933899,0.184091657,0.317382144,0.278824459,0.402965229,0.433197766,0.395033062,0.336332371,0.471580381,0.291638829,0.326125297,0.381014911,0.352367469,0.281328584,0.660191126,0,0.425458029,0.302056325,0.580515364,0.413461693,0.23003472,0.255097355,0.314775177,0.433502685,0.307698593,0.355688546,0.653091537,0.294005906,0.23871222,0.422400712,0.181670288,0.420869896,0.495487126,0.461258994,0.360813315,0.275238339,0,0.201048546,0.379887281,0.222928957,0,0.415518034,0.244723556,0.130434783,0.402429359,0,0,0.251779063,0.377792455,0.400586759,0.319209018,0.433363429,0.289043986,0,0.458840772,0,0.216347971,0.135192327,0.337365081,0.353921975,0.450641091,0.330616373,0.344551411,0,0.413461693,0,0.349159486,0.367321366,0,0,0.287915903,0,0,0.362318841,0.423369878,0.395939275,0.124038508,0.256699404,0.294031838,0,0.328952606,0.413461693,0.16262418,0.275953967,0,0.333363642,0.358228329,0.370166308,0,0,0,0,0.301523509,0.343083066,0.271445942,0.218647251,0.302078067,0.196643448,0.253976105,0.328987443,0.17733886,0.236309824,0.401295212,0.339130435,0.444689585,0.389785787,0.309174307,0.333004584,0,0.334717648,0.254786458,0.384894858,0.293081723,0.463583803,0.381460279,0.408732672,0.511392155,0.262838079,0.534075668,0.482012323,0.366905536,0,0.218774698,0,0.33173882,0.349829877,0.314008897,0,0,0,0,0,0.372185652,0,0
T1091,1,0.423784412,0.545338355,0.427603713,0.555522763,0.379875981,0.195343531,0,0.245058998,0.343074947,0.463684668,0.400864753,0.640562391,0.495175264,0.489097237,0.338525491,0.091506351,0.532589323,0.504104297,0.229347523,0.393730138,0.306989808,0.428017021,0.432939202,0.467124632,0.369426498,0.471804657,0.360628488,0.429340442,0.512794677,0.484027828,0.353571337,0.763653248,0,0.496331919,0.477559675,0.613578291,0.515104359,0.386248893,0.395124325,0.355799532,0.527662758,0.507261795,0.422774777,0.435012873,0.672284824,0.297395641,0.456624265,0.083568332,0.464532958,0.617294378,0.582046301,0.566194077,0.390816151,0,0.30909942,0.492328681,0.256619291,0,0.582809463,0.421622258,0.416666667,0.548007897,0,0,0.394381378,0.376969634,0.461182911,0.382842802,0.449869975,0.264420676,0,0.613555397,0,0.387796566,0.431864379,0.425352699,0.35093791,0.561423692,0.373102611,0.158493649,0,0.515104359,0,0.632833239,0.468670042,0,0,0.360916021,0,0,0.166666667,0.589087639,0.409798669,0.396234122,0.530675601,0.557465605,0,0.533493649,0.515104359,0.519493908,0.572110059,0,0.513102936,0.336215567,0.472200166,0,0,0,0,0.344519819,0.445640769,0.352437658,0.349127352,0.397964327,0.345896861,0.414901112,0.420766971,0.566499138,0.428145154,0.461049318,0.55,0.506080037,0.618368467,0.449777604,0.395314152,0,0.510743831,0.3877239,0.421708315,0.413649178,0.42268251,0.45025717,0.452666112,0.591626506,0.381232951,0.563305064,0.587500641,0.391280497,0,0.254378914,0,0.413291279,0.296957231,0.3512998,0,0,0,0,0,0.286675281,0,0
T1092,999,0.624172788,0.802295946,0.640724601,0.691935125,0.480394322,0.240422808,0,0.354111591,0.514786023,0.678127197,0.56472105,0.885951204,0.751528601,0.697310643,0.554372987,0.122008468,0.714205567,0.745572029,0.282273874,0.646408813,0.450697365,0.639602799,0.583521622,0.647898792,0.530035346,0.661551877,0.589296068,0.607935537,0.733719777,0.697965361,0.497222695,1.072748087,0,0.608903281,0.695479934,0.893868042,0.633974596,0.569216444,0.590120193,0.586869941,0.778390905,0.751755643,0.599617609,0.58707788,0.714704135,0.467433869,0.667502071,0.111424443,0.69478575,0.759746927,0.851592794,0.814268244,0.571165943,0,0.439806151,0.717303625,0.404718723,0,0.878549601,0.601345614,0.666666667,0.826839418,0,0,0.563299316,0.542645266,0.669639946,0.470325611,0.677915031,0.330886169,0,0.896533948,0,0.574977254,0.690983006,0.589834602,0.436707853,0.690983006,0.456940565,0.211324865,0,0.633974596,0,0.94514035,0.701815096,0,0,0.524965334,0,0,0.222222222,0.832224599,0.50224488,0.633974596,0.774380603,0.834674553,0,0.775990762,0.633974596,0.831190253,0.846593635,0,0.736752203,0.419658441,0.661151593,0,0,0,0,0.422208674,0.64835645,0.515066882,0.511193747,0.564313164,0.511094521,0.6269262,0.622029514,0.90639862,0.629571911,0.694001637,0.8,0.620072021,0.893093906,0.677255196,0.552679616,0,0.751757422,0.566035142,0.657643196,0.596074365,0.534721365,0.610860487,0.686396419,0.841565721,0.540907992,0.829707569,0.855146619,0.547869745,0,0.416573646,0,0.50866619,0.374156358,0.53380261,0,0,0,0,0,0.44696844,0,0
T1095,0,0.452387368,0.485126498,0.431061637,0.484596184,0.411385583,0.114487051,0,0.188780466,0.328094356,0.47918587,0.421272626,0.595433888,0.463167968,0.361038221,0.489578712,0.235302045,0.494623931,0.443965511,0.13441613,0.555988937,0.373912559,0.497775809,0.424216302,0.388320931,0.387230409,0.494966132,0.503540079,0.349701591,0.421346354,0.413136209,0.3027456,0.628421618,0,0.302585781,0.409853619,0.627571126,0.301892665,0.365614007,0.377047968,0.531519865,0.498161975,0.451111156,0.386882281,0.457640459,0.378932408,0.174297811,0.662793925,0.214889997,0.497856553,0.361784251,0.565537744,0.430750789,0.372805449,0,0.227809816,0.462111417,0.374704624,0,0.561956218,0.331995356,0.380952381,0.524157177,0,0,0.292351795,0.433230002,0.448443696,0.229523547,0.533850787,0.260377989,0,0.545600743,0,0.306893073,0.394847432,0.367257461,0.306060689,0.329039527,0.232122877,0.407555097,0,0.301892665,0,0.496382391,0.50096169,0,0,0.361073468,0,0,0.428571429,0.443435412,0.303060408,0.362271198,0.434396048,0.449685261,0,0.406471352,0.301892665,0.474965859,0.460538601,0,0.385469832,0.319856144,0.383751179,0,0,0,0,0.212713416,0.393188139,0.316414367,0.288323345,0.341152836,0.27189189,0.385292957,0.393648036,0.517942069,0.350215412,0.505203901,0.419047619,0.313228215,0.465081021,0.43318994,0.345889342,0,0.430514967,0.303621247,0.541736709,0.320156075,0.406337723,0.357827956,0.524682977,0.536184653,0.284397606,0.595856759,0.518753397,0.39236041,0,0.367885149,0,0.242221995,0.332032485,0.40576029,0,0,0,0,0,0.521578695,0,0
T1098,999,0.473837877,0.605068457,0.583840952,0.362207981,0.293273659,0.096169123,0,0.249173217,0.32148885,0.492570504,0.4142158,0.632246266,0.625254475,0.458550251,0.579837387,0.146410162,0.480704767,0.556294829,0.11290955,0.679289998,0.401163961,0.516168,0.380081005,0.389702246,0.404882298,0.467109099,0.613877042,0.406442695,0.495235695,0.491080859,0.332594107,0.647639668,0,0.246118118,0.542153076,0.634112841,0.253589838,0.497001159,0.489872,0.622051318,0.561543394,0.616748611,0.406319168,0.393588391,0.516699855,0.146410162,0.49304099,0.324061272,0.528643482,0.303898771,0.648766567,0.56592751,0.460027783,0,0.291705847,0.533730685,0.438559836,0,0.696138967,0.460188939,0.666666667,0.632694266,0,0,0.377238085,0.419384497,0.476550262,0.189255434,0.549798647,0.188985971,0,0.648949151,0,0.4384855,0.690983006,0.401943722,0.228033669,0.276393202,0.18571767,0.253589838,0,0.253589838,0,0.712624177,0.586737982,0,0,0.409106787,0,0,0.266666667,0.538520233,0.278164695,0.633974596,0.658066222,0.662863308,0,0.543193533,0.253589838,0.831190253,0.697856645,0,0.497378328,0.233133985,0.421292825,0,0,0,0,0.171243903,0.457001338,0.372799429,0.384681499,0.39043631,0.384073152,0.516559377,0.455170623,0.90639862,0.50882284,0.550192319,0.56,0.25166324,0.610463613,0.551722335,0.360181009,0,0.554200276,0.398063098,0.600836387,0.398297461,0.316842624,0.355967988,0.563915614,0.544646797,0.351383582,0.611208734,0.584656629,0.383042601,0,0.435708413,0,0.203466476,0.233535199,0.440251015,0,0,0,0,0,0.485692841,0,0
T1102,3,0.496140208,0.530610177,0.456719518,0.541110353,0.458519661,0.139192152,0,0.210183649,0.357014168,0.519530072,0.461733175,0.636804632,0.5008988,0.407026024,0.503465979,0.231173939,0.544102902,0.493591117,0.163421717,0.579087841,0.405773764,0.538596607,0.475244361,0.439787549,0.415105428,0.54513435,0.519252947,0.389464408,0.469420289,0.458316167,0.333838271,0.711703086,0,0.356728225,0.44837675,0.688834555,0.367037924,0.39545098,0.406860558,0.550890826,0.550456564,0.492808264,0.430838107,0.507396753,0.420113951,0.211909444,0.529690473,0.211119997,0.658626561,0.439853484,0.611864335,0.480912081,0.407447072,0,0.258010093,0.501888234,0.390213014,0,0.614704777,0.366318202,0.409356725,0.564927327,0,0,0.330562714,0.47249443,0.488136092,0.274144415,0.580581817,0.284709598,0,0.597230549,0,0.341083248,0.424287811,0.408071093,0.347545701,0.400042793,0.269382438,0.422649731,0,0.367037924,0,0.552911777,0.535169919,0,0,0.394531788,0,0,0.421052632,0.495212518,0.338883518,0.389282647,0.476632705,0.497448301,0,0.456064746,0.367037924,0.51037998,0.503965358,0,0.433604094,0.350313124,0.434119733,0,0,0,0,0.248318893,0.432344984,0.345195007,0.31835389,0.375921582,0.302687744,0.419162307,0.428052592,0.556560556,0.385081473,0.540953387,0.470175439,0.364966749,0.520444725,0.464897335,0.38704303,0,0.4761734,0.335032657,0.575186592,0.353464638,0.446252634,0.406439857,0.563572814,0.600753273,0.318926407,0.66152049,0.575822367,0.423988474,0,0.378320487,0,0.294490952,0.360810929,0.429719465,0,0,0,0,0,0.536907948,0,0
